Spatial_frequency,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20
0.00E+00,2.00E+00,,,,,,,,,,,,,,,,,,,
1.43E-02,1.96E+00,,,,,,,,,,,,,,,,,,,
2.86E-02,1.93E+00,,,,,,,,,,,,,,,,,,,
4.29E-02,1.89E+00,,,,,,,,,,,,,,,,,,,
5.71E-02,1.86E+00,,,,,,,,,,,,,,,,,,,
7.14E-02,1.82E+00,,,,,,,,,,,,,,,,,,,
8.57E-02,1.78E+00,,,,,,,,,,,,,,,,,,,
1.00E-01,1.75E+00,,,,,,,,,,,,,,,,,,,
1.14E-01,1.71E+00,,,,,,,,,,,,,,,,,,,
1.29E-01,1.68E+00,,,,,,,,,,,,,,,,,,,
1.43E-01,1.64E+00,,,,,,,,,,,,,,,,,,,
1.57E-01,1.60E+00,,,,,,,,,,,,,,,,,,,
1.71E-01,1.57E+00,,,,,,,,,,,,,,,,,,,
1.86E-01,1.53E+00,,,,,,,,,,,,,,,,,,,
2.00E-01,1.50E+00,,,,,,,,,,,,,,,,,,,
2.14E-01,1.46E+00,,,,,,,,,,,,,,,,,,,
2.29E-01,1.43E+00,,,,,,,,,,,,,,,,,,,
2.43E-01,1.39E+00,,,,,,,,,,,,,,,,,,,
2.57E-01,1.35E+00,,,,,,,,,,,,,,,,,,,
2.71E-01,1.32E+00,,,,,,,,,,,,,,,,,,,
2.86E-01,1.28E+00,,,,,,,,,,,,,,,,,,,
3.00E-01,1.25E+00,,,,,,,,,,,,,,,,,,,
3.14E-01,1.21E+00,,,,,,,,,,,,,,,,,,,
3.29E-01,1.18E+00,,,,,,,,,,,,,,,,,,,
3.43E-01,1.15E+00,,,,,,,,,,,,,,,,,,,
3.57E-01,1.11E+00,,,,,,,,,,,,,,,,,,,
3.71E-01,1.08E+00,,,,,,,,,,,,,,,,,,,
3.86E-01,1.04E+00,,,,,,,,,,,,,,,,,,,
4.00E-01,1.01E+00,,,,,,,,,,,,,,,,,,,
4.14E-01,9.77E-01,,,,,,,,,,,,,,,,,,,
4.29E-01,9.44E-01,,,,,,,,,,,,,,,,,,,
4.43E-01,9.11E-01,,,,,,,,,,,,,,,,,,,
4.57E-01,8.78E-01,,,,,,,,,,,,,,,,,,,
4.71E-01,8.46E-01,,,,,,,,,,,,,,,,,,,
4.86E-01,8.14E-01,,,,,,,,,,,,,,,,,,,
5.00E-01,7.82E-01,,,,,,,,,,,,,,,,,,,
5.14E-01,7.50E-01,,,,,,,,,,,,,,,,,,,
5.29E-01,7.19E-01,,,,,,,,,,,,,,,,,,,
